"Time Period","marketyield","marketrate"
1962-01,,2.72
1962-02,,2.73
1962-03,,2.72
1962-04,,2.73
1962-05,,2.69
1962-06,,2.73
1962-07,,2.92
1962-08,,2.82
1962-09,,2.78
1962-10,,2.74
1962-11,,2.83
1962-12,,2.87
1963-01,,2.91
1963-02,,2.92
1963-03,,2.89
1963-04,,2.90
1963-05,,2.93
1963-06,,2.99
1963-07,,3.18
1963-08,,3.32
1963-09,,3.38
1963-10,,3.45
1963-11,,3.52
1963-12,,3.52
1964-01,,3.52
1964-02,,3.53
1964-03,,3.54
1964-04,,3.47
1964-05,,3.48
1964-06,,3.48
1964-07,,3.46
1964-08,,3.50
1964-09,,3.53
1964-10,,3.57
1964-11,,3.64
1964-12,,3.84
1965-01,,3.81
1965-02,,3.93
1965-03,,3.93
1965-04,,3.93
1965-05,,3.89
1965-06,,3.80
1965-07,,3.84
1965-08,,3.84
1965-09,,3.92
1965-10,,4.03
1965-11,,4.09
1965-12,,4.38
1966-01,,4.59
1966-02,,4.65
1966-03,,4.59
1966-04,,4.62
1966-05,,4.64
1966-06,,4.50
1966-07,,4.80
1966-08,,4.96
1966-09,,5.37
1966-10,,5.35
1966-11,,5.32
1966-12,,4.96
1967-01,,4.72
1967-02,,4.56
1967-03,,4.26
1967-04,,3.84
1967-05,,3.60
1967-06,,3.54
1967-07,,4.21
1967-08,,4.27
1967-09,,4.42
1967-10,,4.56
1967-11,,4.73
1967-12,,4.97
1968-01,,5.00
1968-02,,4.98
1968-03,,5.17
1968-04,,5.38
1968-05,,5.66
1968-06,,5.52
1968-07,,5.31
1968-08,,5.09
1968-09,,5.19
1968-10,,5.35
1968-11,,5.45
1968-12,,5.96
1969-01,,6.14
1969-02,,6.12
1969-03,,6.02
1969-04,,6.11
1969-05,,6.04
1969-06,,6.44
1969-07,,7.00
1969-08,,6.98
1969-09,,7.09
1969-10,,7.00
1969-11,,7.24
1969-12,,7.82
1970-01,,7.87
1970-02,,7.13
1970-03,,6.63
1970-04,,6.51
1970-05,,6.84
1970-06,,6.68
1970-07,,6.45
1970-08,,6.41
1970-09,,6.12
1970-10,,5.91
1970-11,,5.28
1970-12,,4.87
1971-01,,4.44
1971-02,,3.70
1971-03,,3.38
1971-04,,3.86
1971-05,,4.14
1971-06,,4.75
1971-07,,5.40
1971-08,,4.94
1971-09,,4.69
1971-10,,4.46
1971-11,,4.22
1971-12,,4.01
1972-01,,3.38
1972-02,,3.20
1972-03,,3.73
1972-04,,3.71
1972-05,,3.69
1972-06,,3.91
1972-07,,3.98
1972-08,,4.02
1972-09,,4.66
1972-10,,4.74
1972-11,,4.78
1972-12,,5.07
1973-01,,5.41
1973-02,,5.60
1973-03,,6.09
1973-04,,6.26
1973-05,,6.36
1973-06,,7.19
1973-07,,8.01
1973-08,,8.67
1973-09,,8.29
1973-10,,7.22
1973-11,,7.83
1973-12,,7.45
1974-01,,7.77
1974-02,,7.12
1974-03,,7.96
1974-04,,8.33
1974-05,,8.23
1974-06,,7.90
1974-07,,7.55
1974-08,,8.96
1974-09,,8.06
1974-10,,7.46
1974-11,,7.47
1974-12,,7.15
1975-01,,6.26
1975-02,,5.50
1975-03,,5.49
1975-04,,5.61
1975-05,,5.23
1975-06,,5.34
1975-07,,6.13
